               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10361,            0.022946,                   0,             0.60105,             0.69427,             0.61439,             0.25241,            0.052703,            0.013549,                   0,              0.0748,              0.0028,              0.0028
                   1,            0.067184,            0.022894,                   0,             0.67337,             0.73885,             0.70575,             0.27172,            0.048034,            0.011839,                   0,            0.048662,           0.0056624,           0.0056624
                   2,            0.061252,            0.019813,                   0,             0.52663,             0.71975,             0.61956,             0.26843,            0.045972,           0.0083168,                   0,            0.022486,           0.0084865,           0.0084865
                   3,            0.056705,            0.019089,                   0,             0.67806,             0.64392,             0.69003,             0.28836,            0.041612,           0.0066525,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.047984,            0.018426,                   0,             0.61843,             0.71232,             0.63247,             0.41065,            0.034526,           0.0062464,                   0,            0.009802,            0.009802,            0.009802
                   5,             0.04402,            0.015112,                   0,             0.87944,             0.77707,             0.88527,             0.49155,            0.033068,           0.0054107,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.040484,            0.015776,                   0,             0.80488,             0.90446,             0.88092,             0.53296,            0.029838,           0.0053621,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.036905,            0.014273,                   0,             0.72763,             0.80892,             0.82514,             0.58339,            0.029015,           0.0050473,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.034415,            0.014331,                   0,             0.81243,              0.9172,             0.92928,             0.60643,            0.023717,           0.0048556,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.032715,            0.013096,                   0,             0.93687,             0.86624,             0.95916,             0.61556,            0.024865,           0.0047815,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.030838,             0.01258,                   0,             0.86973,             0.93558,             0.94508,             0.64558,            0.024061,           0.0047118,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.030979,            0.012376,                   0,             0.95855,             0.89172,             0.96932,             0.70262,            0.024355,           0.0045063,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.031354,            0.012714,                   0,             0.92516,              0.9172,             0.96663,             0.61291,            0.022461,           0.0044605,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.029651,            0.012147,                   0,             0.91222,             0.89172,             0.95072,             0.67507,            0.021013,           0.0045098,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.028263,            0.012246,                   0,             0.91626,             0.92357,             0.97266,              0.7568,            0.019257,            0.004748,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.027903,             0.01177,                   0,             0.90959,             0.96121,             0.98061,             0.72998,            0.020489,           0.0043611,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.027668,            0.011384,                   0,             0.92364,             0.94268,             0.97794,             0.74373,            0.020577,           0.0043711,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.027054,            0.011099,                   0,               0.955,             0.90446,             0.97926,             0.76419,            0.019249,           0.0041483,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.026749,            0.011894,                   0,             0.91815,             0.92886,               0.976,             0.78496,            0.019726,           0.0041429,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.026598,            0.011138,                   0,             0.87278,              0.9172,             0.96458,              0.7705,            0.018007,           0.0044119,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.026583,             0.01062,                   0,             0.93747,             0.90446,             0.96955,             0.78061,            0.019248,           0.0045357,                   0,            0.008746,            0.008746,            0.008746
